Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C101, C102, C103, C114",0603,5,0.1u,
"CANH100, CANL100, RX100, TX100",TestPoint_Pad_D1.0mm,4,TestPoint,
"D100, D101, D102, D104, D105, D106, D107, D108",D_SMA,8,SMAJ5.0A,
D103,D_SMC,1,B340,
"D110, D111, D112, D113, D114, D115",0603,6,LED,
F100,1206,1,Fuse,
J100,ATM13-12PA-12PB-BM01,1,~,
Q100,Teensy4_1,1,~,
"R103, R104, R105, R106, R113, R114",0603,6,10,
"R107, R108, R109, R110, R111",0603,5,0,
R112,0603,1,120,
"U100, U101",WSON8_DSG_TEX,2,DRV8212PDSGR,
U103,D8,1,SN65HVD230DR,
